school_id,landsat_prob_fail,static_prob_fail,intervention,region,province
105734,0.8064927458763123,30.070314407348636,0,1,7
106717,5.465382099151611,23.980207443237305,0,1,11
106794,1.5031505823135376,1.59734845161438,0,1,11
106328,0.6364327669143677,29.16076850891113,0,1,11
106973,27.019718170166016,23.424943923950195,0,1,12
106272,2.8611545562744136,34.785140991210945,0,1,8
136693,47.86277770996094,58.82242965698242,0,0,6
105166,52.31745147705078,53.73715209960938,0,1,3
136712,84.14656829833984,54.44648361206055,0,0,6
107433,54.90226745605469,40.137123107910156,0,2,2
104628,24.69133186340332,62.94115829467773,0,1,1
107882,76.18046569824219,43.62435150146485,0,2,4
160501,18.635440826416016,63.23162460327149,0,1,12
106736,23.58136558532715,31.131500244140625,0,1,11
108148,11.064258575439453,51.870994567871094,0,2,4
105566,3.7974495887756343,0.8860737085342407,0,1,7
106832,15.49283218383789,17.13847541809082,0,1,12
104605,2.5052049160003658,35.95631790161133,0,1,1
106802,43.42145156860352,4.205382823944092,0,1,12
108847,84.36200714111328,32.47857666015625,0,2,9
105856,4.611021041870117,17.71330451965332,0,1,7
106881,18.266904830932614,28.590187072753906,1,1,12
105242,9.731431007385254,16.137439727783207,0,1,7
106274,4.284231662750243,6.871937274932861,0,1,8
105528,0.20428192615509036,19.234695434570312,0,1,7
108762,39.97419357299805,25.26726722717285,0,2,9
105585,28.423198699951172,60.59611511230469,0,1,7
105437,3.800214767456055,27.378761291503906,0,1,7
107713,22.836294174194336,31.03907012939453,0,2,2
106591,4.032129764556885,3.367865800857544,0,1,11
107842,12.593215942382812,30.111690521240234,0,2,4
106297,26.36193084716797,18.47545051574707,0,1,8
106799,25.510454177856445,11.69249153137207,0,1,12
107361,7.398029327392577,43.90919494628906,1,2,2
106993,6.091917991638184,39.34330749511719,0,1,12
105596,3.307734727859497,15.438034057617188,0,1,7
108723,70.68346405029297,58.82207870483398,0,2,9
108785,55.55808639526367,26.81783103942871,0,2,9
109689,34.813106536865234,18.234420776367188,0,2,2
106345,2.0998847484588623,4.472047805786133,0,1,11
105386,6.381484031677246,47.52926254272461,0,1,7
107588,49.43744277954102,36.29209518432617,0,2,2
105125,1.3335658311843872,27.60653877258301,0,1,3
106708,1.9829522371292116,40.88752746582031,0,1,11
107352,26.75625991821289,16.188674926757812,0,2,2
104749,6.9655961990356445,35.08908843994141,0,1,3
105766,2.0497112274169917,4.786896228790283,0,1,7
109657,58.64875793457031,43.6042594909668,0,2,2
104791,9.211874961853027,21.27564811706543,0,1,3
109226,82.78174591064453,42.76371383666992,0,2,9
109196,78.64875030517578,68.96218872070311,0,2,9
107362,6.955810070037843,21.97303009033203,0,2,2
107720,4.8414955139160165,53.67820358276367,0,2,2
107389,9.52181339263916,42.53760528564453,0,2,2
105805,1.5188684463500977,10.911152839660645,0,1,7
105963,1.0703998804092407,30.527210235595703,0,1,8
105738,10.12463665008545,20.6176815032959,0,1,7
107683,55.7685775756836,52.72172164916992,0,2,2
106288,6.2644758224487305,23.373647689819336,0,1,8
107833,15.059556007385256,17.26736068725586,0,2,2
106765,33.034263610839844,42.29419708251953,0,1,11
106969,8.12614631652832,24.30817413330078,0,1,12
107647,30.219247817993164,18.886890411376953,0,2,2
105482,17.2821044921875,11.426201820373535,0,1,7
107655,24.137168884277344,45.31460952758789,0,2,2
106075,16.192737579345707,31.72472381591797,0,1,8
107579,31.09031105041504,44.99944305419922,0,2,2
109347,3.3956401348114014,39.546058654785156,0,2,10
105668,25.454145431518555,14.986573219299315,0,1,7
105840,0.2872152328491211,52.07520294189453,0,1,7
105977,33.792892456054695,15.414209365844727,0,1,8
107306,22.65219497680664,44.4132194519043,0,2,2
107286,12.598233222961426,18.48503875732422,0,2,2
107440,32.89963150024414,48.39952087402344,0,2,2
105609,14.37539005279541,2.4870901107788086,0,1,7
136760,38.03552627563477,55.07991790771485,0,0,6
107899,52.87161636352539,60.21224212646485,1,2,4
106714,17.394508361816403,26.007211685180664,0,1,11
106045,21.26538848876953,12.51188850402832,0,1,8
107620,36.93252944946289,48.218421936035156,0,2,2
106480,7.9160399436950675,12.721016883850098,0,1,11
104727,5.178593635559082,12.868828773498535,0,1,3
105763,58.87199020385742,15.73612117767334,0,1,7
104848,2.545726537704468,10.948982238769533,0,1,3
105868,13.137178421020508,2.450021505355835,0,1,8
107028,69.48069000244139,52.12744903564453,0,1,8
105378,5.399070739746094,9.761147499084473,0,1,7
105307,9.57578945159912,41.86730575561523,0,1,7
105573,0.3841966986656189,2.6687848567962646,0,1,7
106351,3.1492426395416264,16.31050682067871,0,1,11
104693,3.2042932510375977,47.46961975097656,0,1,1
106097,4.968335151672363,6.0531368255615225,0,1,8
108089,40.29097366333008,57.68609619140625,0,2,4
108671,73.19282531738281,35.051437377929695,0,2,9
107317,8.822966575622559,35.64039611816406,0,2,2
