,school_id,intervention,actual_mean,predicted_mean,error
0,106162,0,28.38,33.69020000000001,5.3102000000000125
1,109219,0,28.92,26.000400000000013,2.9195999999999884
2,109501,0,32.19,28.796000000000028,3.39399999999997
3,136625,0,27.91,27.07349999999999,0.8365000000000116
4,109210,0,31.08,28.20289999999998,2.87710000000002
5,107674,0,33.12,31.372799999999955,1.747200000000042
6,104842,0,36.95,30.59120000000001,6.358799999999992
7,106388,0,33.42,32.330600000000025,1.0893999999999764
8,105082,0,33.66,33.019999999999975,0.6400000000000219
9,105011,0,27.75,28.963900000000002,1.2139000000000024
10,106302,0,30.67,29.13410000000001,1.535899999999991
11,104777,0,27.21,27.96050000000001,0.7505000000000095
12,104538,0,38.09,34.17230000000002,3.917699999999982
13,107672,0,29.13,28.273700000000044,0.8562999999999548
14,104805,0,31.91,30.805999999999987,1.1040000000000134
15,108048,0,32.11,27.291200000000007,4.818799999999992
16,106312,0,36.35,35.03569999999996,1.3143000000000384
17,107921,0,26.19,29.448100000000004,3.2581000000000024
18,105253,0,31.52,32.8164,1.296400000000002
19,107502,0,28.23,28.48960000000001,0.2596000000000096
20,105022,0,37.97,35.68999999999995,2.280000000000051
21,107747,0,35.35,33.402699999999975,1.947300000000027
22,106067,0,29.2,24.582299999999996,4.617700000000003
23,105196,0,28.45,29.57719999999998,1.1271999999999807
24,105858,0,32.01,32.09200000000007,0.0820000000000718
25,107395,0,29.52,30.028200000000002,0.5082000000000022
26,107603,0,32.11,31.389300000000006,0.7206999999999937
27,105327,0,33.62,32.71759999999996,0.9024000000000356
28,136612,0,30.07,25.22979999999999,4.84020000000001
29,109586,0,34.9,26.448199999999993,8.451800000000006
30,109018,0,33.29,27.30519999999998,5.984800000000018
31,107696,0,35.86,31.87260000000002,3.9873999999999796
32,157505,0,27.3,26.64130000000002,0.6586999999999819
33,109183,0,35.09,32.18600000000002,2.903999999999982
34,106768,0,29.16,30.93030000000002,1.7703000000000202
35,107261,0,34.69,31.454200000000036,3.235799999999962
36,104627,0,33.65,32.44540000000003,1.2045999999999708
37,107825,0,35.76,31.4049,4.355099999999997
38,107424,0,34.97,34.30999999999995,0.6600000000000463
39,105574,0,37.76,34.11700000000005,3.642999999999951
40,106356,0,35.54,32.492499999999986,3.0475000000000136
41,106352,0,38.77,36.21949999999999,2.5505000000000138
42,105358,0,34.56,32.97189999999998,1.5881000000000256
43,305444,0,26.74,26.567799999999973,0.172200000000025
44,109218,0,31.41,28.2927,3.1173
45,136877,0,33.22,31.08489999999997,2.1351000000000298
46,109852,0,27.48,26.27240000000001,1.2075999999999887
47,106378,0,37.81,35.527099999999976,2.2829000000000264
48,104923,0,28.66,27.634700000000013,1.0252999999999872
49,106144,0,26.67,26.074100000000016,0.5958999999999861
50,107837,0,29.74,29.348799999999965,0.3912000000000333
51,105943,0,29.37,30.117299999999965,0.7472999999999637
52,105854,0,37.81,35.72519999999997,2.0848000000000297
53,107909,0,34.39,21.709000000000014,12.680999999999987
54,107685,0,28.29,27.254299999999986,1.0357000000000127
55,165505,0,33.69,30.370500000000035,3.3194999999999624
56,106819,0,30.23,30.53660000000001,0.3066000000000102
57,162504,0,27.39,27.26979999999999,0.12020000000001119
58,106123,0,30.75,29.0515,1.6984999999999992
59,108691,0,27.37,25.96049999999996,1.4095000000000404
60,106566,0,33.33,30.53129999999999,2.7987000000000073
61,105034,0,32.91,33.15219999999998,0.24219999999998265
62,105695,0,28.85,32.20120000000004,3.3512000000000413
63,105562,0,33.19,30.71120000000003,2.4787999999999677
64,107002,0,30.84,31.13900000000001,0.29900000000001015
65,107517,0,31.75,30.957800000000002,0.7921999999999976
66,106931,0,33.88,32.98140000000005,0.8985999999999521
67,105320,0,35.61,34.182100000000005,1.427899999999994
68,106138,0,28.88,27.661000000000044,1.218999999999955
69,136788,0,27.88,26.016000000000034,1.8639999999999652
70,106406,0,35.78,32.39390000000002,3.3860999999999777
71,105208,0,37.63,35.56310000000005,2.066899999999954
72,106666,0,28.05,29.419400000000007,1.369400000000006
73,109087,0,27.3,22.026699999999995,5.273300000000006
74,107649,0,35.0,32.8887,2.1113
75,106890,0,31.87,29.618699999999954,2.2513000000000467
76,105419,0,26.25,29.3829,3.1328999999999994
77,105741,0,36.26,32.480000000000004,3.779999999999994
78,108281,0,28.87,26.086999999999946,2.7830000000000545
79,105524,0,32.63,32.87850000000004,0.24850000000003547
80,105632,0,35.67,31.85199999999999,3.818000000000012
81,109106,0,29.75,27.755399999999998,1.994600000000002
82,106947,0,36.54,35.455699999999986,1.0843000000000131
83,106627,0,32.78,26.06189999999999,6.71810000000001
84,107675,0,29.03,29.125000000000032,0.09500000000003084
85,104699,0,36.24,34.045199999999944,2.1948000000000576
86,104818,0,36.34,31.7624,4.577600000000004
87,105492,0,30.2,29.752299999999977,0.4477000000000224
88,106827,0,32.21,32.510200000000026,0.3002000000000251
89,108726,0,28.31,26.76549999999997,1.5445000000000277
90,105519,0,31.19,31.96810000000002,0.7781000000000198
91,104503,0,37.7,34.682599999999944,3.017400000000059
92,106126,0,28.3,28.64100000000003,0.3410000000000295
93,104530,0,32.59,31.704300000000025,0.8856999999999786
94,105030,0,34.79,32.7153,2.0747
95,105789,0,36.91,31.899799999999985,5.010200000000012
96,159515,0,25.95,26.84459999999998,0.8945999999999792
97,106874,0,34.48,33.719300000000004,0.7606999999999928
98,106181,0,28.69,28.795200000000037,0.10520000000003549
99,107641,0,31.61,31.48340000000001,0.12659999999998917
100,105365,0,37.08,33.71999999999998,3.3600000000000207
101,105748,0,33.45,33.647699999999965,0.19769999999996202
102,105745,0,32.18,32.239700000000006,0.059700000000006526
103,105446,0,31.8,32.061400000000035,0.2614000000000338
104,108868,0,26.35,18.88329999999999,7.46670000000001
105,106238,0,31.59,31.25080000000001,0.33919999999999106
106,105712,0,26.88,29.46310000000004,2.583100000000041
107,104949,0,30.52,32.91449999999999,2.39449999999999
108,107496,0,30.26,30.887800000000038,0.6278000000000361
109,106418,0,34.95,31.892099999999957,3.0579000000000462
110,104950,0,31.29,31.41270000000002,0.12270000000001957
111,107468,0,32.42,32.022700000000015,0.3972999999999871
112,104909,0,29.93,25.614700000000006,4.3152999999999935
113,109521,0,26.3,26.309800000000013,0.009800000000012687
114,106716,0,33.29,32.60129999999998,0.6887000000000185
115,106807,0,31.12,31.684799999999942,0.5647999999999413
116,105994,0,25.97,28.589399999999983,2.6193999999999846
117,107707,0,26.34,27.269000000000005,0.9290000000000056
118,108949,0,32.03,26.879400000000018,5.150599999999983
119,104832,0,32.65,30.772900000000035,1.8770999999999631
120,105122,0,30.06,34.8005,4.740500000000001
121,105494,0,30.45,34.12539999999996,3.6753999999999643
122,107639,0,34.45,32.04139999999996,2.4086000000000425
123,105687,0,34.95,34.13889999999999,0.8111000000000104
124,106113,0,27.86,26.041,1.818999999999999
125,105155,0,26.19,30.03,3.84
126,109460,0,26.56,23.902399999999975,2.6576000000000235
127,107234,0,35.77,34.21209999999999,1.5579000000000107
128,107653,0,33.61,31.08730000000001,2.5226999999999897
129,105015,0,35.37,34.293999999999954,1.0760000000000431
130,105860,0,31.1,31.413999999999966,0.31399999999996453
131,106293,0,31.96,30.433700000000023,1.5262999999999778
132,104694,0,36.4,30.099100000000004,6.300899999999995
133,105167,0,28.6,24.709699999999998,3.8903000000000034
134,104730,0,36.87,28.97090000000001,7.8990999999999865
135,106051,0,28.03,27.27860000000001,0.7513999999999896
136,106070,0,30.55,28.108500000000017,2.4414999999999836
137,105422,0,34.13,27.566999999999997,6.563000000000006
138,105259,0,28.44,30.155600000000035,1.715600000000034
139,108973,0,33.79,30.484599999999972,3.305400000000027
140,136870,0,29.24,27.550799999999953,1.6892000000000458
141,107260,0,30.72,29.998499999999957,0.7215000000000416
142,105263,0,29.48,30.417400000000015,0.9374000000000144
143,109753,0,30.1,21.891300000000015,8.208699999999986
144,136766,0,33.69,30.63360000000003,3.056399999999968
145,105172,0,30.79,30.99949999999997,0.20949999999997004
146,107020,0,26.56,29.377900000000004,2.817900000000005
147,105336,0,33.18,30.83439999999999,2.345600000000008
148,106166,0,29.98,28.15300000000001,1.826999999999991
149,106920,0,33.22,31.87469999999995,1.345300000000048
150,136656,0,31.1,25.619500000000006,5.480499999999996
151,108127,0,27.23,28.960400000000014,1.7304000000000137
152,105352,0,36.3,33.996300000000026,2.3036999999999708
153,109862,0,30.18,23.043699999999998,7.136300000000002
