school_id,landsat_prob_fail,static_prob_fail,intervention,h50_fail_pred,h140_fail_pred,h230_fail_pred,h330_fail_pred,region,province
106162,27.7550106048584,6.510197162628174,0,42.50314331054688,34.69131088256836,32.547805786132805,34.258556365966804,1,8
109219,64.32410430908203,17.969188690185547,0,-1.0,-1.0,-1.0,-1.0,2,9
109501,64.46760559082031,33.02381134033203,0,-1.0,-1.0,-1.0,-1.0,2,10
106122,1.4950077533721924,3.06182599067688,0,20.334125518798828,38.99864959716797,33.11632537841797,25.47321319580078,1,8
136625,42.69683837890625,50.70370864868164,0,54.0900764465332,38.274131774902344,40.61700439453125,52.441978454589844,0,6
109210,74.51557159423828,19.715404510498047,0,-1.0,-1.0,-1.0,-1.0,2,9
107674,31.22133827209473,32.373741149902344,0,35.269046783447266,27.40042495727539,31.82918930053711,21.52512550354004,2,2
104842,2.4686124324798584,15.9291353225708,0,57.51940155029297,29.37953186035156,41.14602279663086,54.00358581542969,1,3
106388,12.55076789855957,11.956416130065918,0,-1.0,-1.0,-1.0,-1.0,1,11
105082,0.715645432472229,17.85658836364746,0,28.02475357055664,43.78462600708008,40.40312576293945,34.129043579101555,1,3
105011,1.8133941888809204,18.823930740356445,0,41.17959213256836,27.32585144042969,25.69090461730957,22.118009567260746,1,3
106302,23.696176528930664,26.468420028686523,0,43.73762512207031,32.29348373413086,35.48200988769531,44.39489364624024,1,8
104777,18.72499656677246,53.45926284790039,0,-1.0,-1.0,-1.0,-1.0,1,3
104538,49.44573211669922,26.47512626647949,0,36.676429748535156,35.75410079956055,51.73472213745117,32.370895385742195,1,1
107672,26.4095458984375,7.988612174987793,0,42.85925674438477,17.532384872436527,24.942386627197266,20.383892059326172,2,2
104805,6.139518737792969,21.03459930419922,0,-1.0,-1.0,-1.0,-1.0,1,3
108048,25.34966087341309,11.424260139465332,0,45.3797607421875,43.82618713378906,34.14174652099609,20.07781219482422,2,4
136595,85.51700592041016,75.6539077758789,0,22.935983657836914,59.879844665527344,46.74974822998047,40.5716552734375,0,6
106312,13.40824031829834,29.7026309967041,0,48.45688247680664,30.06397247314453,44.214603424072266,39.23547744750977,1,11
107921,57.82964706420898,22.074871063232425,0,-1.0,-1.0,-1.0,-1.0,2,4
105253,3.2431461811065674,38.35095596313477,0,-1.0,-1.0,-1.0,-1.0,1,7
107502,21.049068450927734,9.264551162719727,0,21.079986572265625,29.887828826904297,16.166027069091793,25.20746612548828,2,2
105022,8.777691841125487,24.70210075378418,0,43.079345703125,47.34652328491211,12.63564395904541,60.01017761230469,1,3
107747,1.8630273342132568,45.68833923339844,0,23.131107330322266,29.6818790435791,21.822921752929688,30.63027000427246,2,2
105196,1.3518800735473633,24.80646324157715,0,27.25883483886719,37.4974250793457,19.649232864379886,30.92375946044922,1,7
105858,2.6768474578857417,3.352690458297729,0,32.228927612304695,18.32536506652832,22.28319358825684,34.83152008056641,1,7
107395,1.7553694248199463,27.10205078125,0,-1.0,-1.0,-1.0,-1.0,2,2
107603,27.972183227539066,55.01162338256836,0,-1.0,-1.0,-1.0,-1.0,2,2
105327,5.101902484893799,24.927080154418945,0,21.75539970397949,33.59743118286133,15.836355209350586,30.537944793701172,1,7
136612,36.71663665771485,64.58502197265625,0,-1.0,-1.0,-1.0,-1.0,0,6
109586,45.60732650756836,39.91566467285156,0,-1.0,-1.0,-1.0,-1.0,2,2
109018,54.78561019897461,38.81589126586914,0,-1.0,-1.0,-1.0,-1.0,2,9
107696,31.60406875610352,23.858997344970703,0,-1.0,-1.0,-1.0,-1.0,2,2
157505,22.10002899169922,50.34931945800781,0,23.32435607910156,21.553165435791016,38.55270385742188,22.16025161743164,1,0
109183,86.13794708251953,43.78740692138672,0,-1.0,-1.0,-1.0,-1.0,2,9
