,school_id,intervention,actual_mean,predicted_mean,error
0,106162,0,30.8,30.250400000000003,0.5495999999999981
1,109219,0,28.508,23.766979999999993,4.741020000000006
2,109501,0,32.554,29.924660000000017,2.629339999999985
3,106122,0,27.528,28.38989999999997,0.8618999999999701
4,136625,0,30.983999999999998,30.05763999999997,0.9263600000000274
5,109210,0,31.784,28.017380000000045,3.7666199999999534
6,107674,0,35.562,30.526479999999996,5.035520000000002
7,104842,0,36.980000000000004,35.282840000000014,1.6971599999999896
8,106388,0,35.918,35.75976000000002,0.15823999999997795
9,105082,0,36.82,36.259140000000045,0.5608599999999555
10,105011,0,30.889999999999997,35.59740000000001,4.7074000000000105
11,106302,0,32.144,31.400999999999954,0.7430000000000447
12,104777,0,29.556,30.616820000000004,1.0608200000000032
13,104538,0,37.766000000000005,33.641520000000035,4.12447999999997
14,107672,0,31.438,31.357840000000046,0.08015999999995316
15,104805,0,33.036,33.657340000000026,0.6213400000000249
16,108048,0,32.372,30.560659999999984,1.8113400000000155
17,136595,0,27.254,25.617139999999964,1.6368600000000377
18,106312,0,34.652,31.63252,3.0194800000000015
19,107921,0,28.089999999999996,29.26014000000002,1.1701400000000248
20,105253,0,34.036,34.46315999999996,0.427159999999958
21,107502,0,29.774,30.858179999999976,1.084179999999975
22,105022,0,37.544,35.54085999999998,2.003140000000016
23,107747,0,32.946,33.43283999999996,0.4868399999999653
24,105196,0,32.17,34.539199999999994,2.369199999999992
25,105858,0,34.13,34.01686000000004,0.11313999999996582
26,107395,0,32.654,32.824960000000004,0.1709600000000009
27,107603,0,32.606,31.984980000000036,0.6210199999999659
28,105327,0,35.788,35.2207,0.5672999999999959
29,136612,0,29.381999999999998,28.43068000000003,0.9513199999999671
30,109586,0,35.356,27.40551999999999,7.950480000000013
31,109018,0,31.812,29.992479999999958,1.8195200000000433
32,107696,0,36.842,34.21014000000004,2.6318599999999606
33,157505,0,28.619999999999997,27.40426000000001,1.215739999999986
34,109183,0,32.688,27.511640000000025,5.176359999999978
35,106768,0,32.522000000000006,31.16587999999998,1.3561200000000255
36,107261,0,35.638,32.314299999999974,3.3237000000000236
37,104627,0,34.624,34.28867999999996,0.3353200000000456
38,107825,0,37.642,36.44531999999996,1.1966800000000433
39,107424,0,36.257999999999996,34.29831999999997,1.9596800000000272
40,105574,0,37.983999999999995,35.01581999999998,2.968180000000018
41,106356,0,33.754000000000005,29.144019999999976,4.609980000000029
42,106352,0,37.806,34.20334,3.60266
43,105358,0,32.888,33.84152000000001,0.9535200000000117
44,109218,0,30.082,28.04186,2.040140000000001
45,105619,0,29.483999999999998,33.799060000000004,4.315060000000006
46,136877,0,33.083999999999996,30.71695999999997,2.367040000000028
47,106378,0,36.292,35.22179999999997,1.0702000000000282
48,104923,0,32.712,30.787219999999998,1.9247800000000055
49,106144,0,33.382,32.28100000000004,1.1009999999999565
50,107837,0,31.548000000000002,32.64703999999996,1.0990399999999596
51,105943,0,33.168,32.31161999999999,0.8563800000000086
52,105854,0,38.466,35.61602000000002,2.849979999999981
53,107909,0,35.5,32.423,3.076999999999998
54,107685,0,30.95,30.837639999999976,0.11236000000002377
55,108943,0,28.639999999999997,27.3893,1.2506999999999984
56,165505,0,27.85,25.508819999999968,2.3411800000000333
57,106819,0,32.254000000000005,31.513079999999977,0.7409200000000276
58,162504,0,30.351999999999997,29.241039999999995,1.1109600000000022
59,106123,0,30.906,31.173679999999976,0.26767999999997727
